Nr      tilename      min_lat      max_lat      min_lon      max_lon
462      N16E021_full      16.001      16.999      21.001      21.999
463      N16E022_full      16.001      16.999      22.001      22.999
464      N16E023_full      16.001      16.999      23.001      23.999
465      N16E024_full      16.001      16.999      24.001      24.999
466      N16E025_full      16.001      16.999      25.001      25.999
467      N16E026_full      16.001      16.999      26.001      26.999
468      N16E027_full      16.001      16.999      27.001      27.999
469      N16E028_full      16.001      16.999      28.001      28.999
470      N16E029_full      16.001      16.999      29.001      29.999
471      N17E000_full      17.001      17.999      0.001      0.999
472      N17E001_full      17.001      17.999      1.001      1.999
473      N17E002_full      17.001      17.999      2.001      2.999
474      N17E003_full      17.001      17.999      3.001      3.999
475      N17E004_full      17.001      17.999      4.001      4.999
476      N17E005_full      17.001      17.999      5.001      5.999
477      N17E006_full      17.001      17.999      6.001      6.999
478      N17E007_full      17.001      17.999      7.001      7.999
479      N17E008_full      17.001      17.999      8.001      8.999
480      N17E009_full      17.001      17.999      9.001      9.999
481      N17E010_full      17.001      17.999      10.001      10.999
482      N17E011_full      17.001      17.999      11.001      11.999
483      N17E012_full      17.001      17.999      12.001      12.999
484      N17E013_full      17.001      17.999      13.001      13.999
485      N17E014_full      17.001      17.999      14.001      14.999
486      N17E015_full      17.001      17.999      15.001      15.999
487      N17E016_full      17.001      17.999      16.001      16.999
488      N17E017_full      17.001      17.999      17.001      17.999
489      N17E018_full      17.001      17.999      18.001      18.999
490      N17E019_full      17.001      17.999      19.001      19.999
491      N17E020_full      17.001      17.999      20.001      20.999
492      N17E021_full      17.001      17.999      21.001      21.999
493      N17E022_full      17.001      17.999      22.001      22.999
494      N17E023_full      17.001      17.999      23.001      23.999
495      N17E024_full      17.001      17.999      24.001      24.999
496      N17E025_full      17.001      17.999      25.001      25.999
497      N17E026_full      17.001      17.999      26.001      26.999
498      N17E027_full      17.001      17.999      27.001      27.999
499      N17E028_full      17.001      17.999      28.001      28.999
500      N17E029_full      17.001      17.999      29.001      29.999
501      N18E000_full      18.001      18.999      0.001      0.999
502      N18E001_full      18.001      18.999      1.001      1.999
503      N18E002_full      18.001      18.999      2.001      2.999
504      N18E003_full      18.001      18.999      3.001      3.999
505      N18E004_full      18.001      18.999      4.001      4.999
506      N18E005_full      18.001      18.999      5.001      5.999
507      N18E006_full      18.001      18.999      6.001      6.999
508      N18E007_full      18.001      18.999      7.001      7.999
509      N18E008_full      18.001      18.999      8.001      8.999
510      N18E009_full      18.001      18.999      9.001      9.999
511      N18E010_full      18.001      18.999      10.001      10.999
512      N18E011_full      18.001      18.999      11.001      11.999
513      N18E012_full      18.001      18.999      12.001      12.999
514      N18E013_full      18.001      18.999      13.001      13.999
515      N18E014_full      18.001      18.999      14.001      14.999
516      N18E015_full      18.001      18.999      15.001      15.999
517      N18E016_full      18.001      18.999      16.001      16.999
518      N18E017_full      18.001      18.999      17.001      17.999
519      N18E018_full      18.001      18.999      18.001      18.999
520      N18E019_full      18.001      18.999      19.001      19.999
521      N18E020_full      18.001      18.999      20.001      20.999
522      N18E021_full      18.001      18.999      21.001      21.999
523      N18E022_full      18.001      18.999      22.001      22.999
524      N18E023_full      18.001      18.999      23.001      23.999
525      N18E024_full      18.001      18.999      24.001      24.999
526      N18E025_full      18.001      18.999      25.001      25.999
527      N18E026_full      18.001      18.999      26.001      26.999
528      N18E027_full      18.001      18.999      27.001      27.999
529      N18E028_full      18.001      18.999      28.001      28.999
530      N18E029_full      18.001      18.999      29.001      29.999
531      N19E000_full      19.001      19.999      0.001      0.999
532      N19E001_full      19.001      19.999      1.001      1.999
533      N19E002_full      19.001      19.999      2.001      2.999
534      N19E003_full      19.001      19.999      3.001      3.999
